rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,last_5,attendance,top_team_scorer,goalkeeper
1,Arsenal,11,8,2,1,20,5,15,26,2.36,18.8,6.0,12.8,1.16,W W W W D,60144,Viktor Gyökeres - 4,David Raya
2,Manchester City,11,7,1,3,23,8,15,22,2.0,19.3,10.3,9.0,0.82,W W L W W,52344,Erling Haaland - 14,Gianluigi Donnarumma
3,Chelsea,11,6,2,3,21,11,10,20,1.82,20.4,13.4,6.9,0.63,W W L W W,39586,João Pedro - 4,Robert Sánchez
4,Sunderland,11,5,4,2,14,10,4,19,1.73,10.2,13.2,-2.9,-0.27,L W W D D,45602,Wilson Isidor - 4,Robin Roefs
5,Tottenham,11,5,3,3,19,10,9,18,1.64,11.0,15.2,-4.2,-0.38,W L W L D,61095,Richarlison - 4,Guglielmo Vicario
6,Aston Villa,11,5,3,3,13,10,3,18,1.64,9.1,14.5,-5.4,-0.49,W W W L W,41167,"Emi Buendía, Donyell Malen - 3",Emiliano Martínez
7,Manchester Utd,11,5,3,3,19,18,1,18,1.64,18.2,16.4,1.8,0.17,W W W D D,73997,Bryan Mbeumo - 5,Altay Bayındır
8,Liverpool,11,6,0,5,18,17,1,18,1.64,17.7,13.9,3.8,0.35,L L L W L,60371,Mohamed Salah - 4,Alisson
9,Bournemouth,11,5,3,3,17,18,-1,18,1.64,13.2,14.9,-1.7,-0.16,W D W L L,11164,Antoine Semenyo - 6,Đorđe Petrović
10,Crystal Palace,11,4,5,2,14,9,5,17,1.55,19.0,12.6,6.4,0.58,L D L W D,24947,Jean-Philippe Mateta - 6,Dean Henderson
11,Brighton,11,4,4,3,17,15,2,16,1.45,16.6,13.0,3.6,0.33,D W L W D,31517,Danny Welbeck - 6,Bart Verbruggen
12,Brentford,11,5,1,5,17,17,0,16,1.45,16.3,13.3,3.0,0.27,L W W L W,17046,Thiago - 8,Caoimhín Kelleher
13,Everton,11,4,3,4,12,13,-1,15,1.36,14.8,15.2,-0.4,-0.04,W L L D W,51968,Iliman Ndiaye - 4,Jordan Pickford
14,Newcastle Utd,11,3,3,5,11,14,-3,12,1.09,12.8,11.1,1.7,0.16,W L W L L,52183,Nick Woltemade - 4,Nick Pope
15,Fulham,11,3,2,6,12,16,-4,11,1.0,10.7,14.4,-3.7,-0.34,L L L W L,27020,"Harry Wilson, Ryan Sessegnon - 2",Bernd Leno
16,Leeds United,11,3,2,6,10,20,-10,11,1.0,12.7,14.6,-1.9,-0.17,L L W L L,36722,"Lukas Nmecha, Joe Rodon... - 2",Lucas Perri
17,Burnley,11,3,1,7,14,22,-8,10,0.91,8.2,23.4,-15.3,-1.39,L W W L L,21524,Jaidon Anthony - 4,Martin Dúbravka
18,West Ham,11,3,1,7,13,23,-10,10,0.91,12.3,16.3,-4.0,-0.37,L L L W W,62453,"Lucas Paquetá, Jarrod Bowen - 3",Alphonse Areola
19,Nott'ham Forest,11,2,3,6,10,20,-10,9,0.82,13.5,16.6,-3.1,-0.28,L L L D W,30395,"Chris Wood, Morgan Gibbs-White - 2",Matz Sels
20,Wolves,11,0,2,9,7,25,-18,2,0.18,9.6,16.0,-6.4,-0.58,D L L L L,30231,"Hwang Hee-chan, Santiago Bueno... - 1",Sam Johnstone
